make,fuel_type,num_of_doors,body_style,drive_wheels,engine_location,curb_weight,num_of_cylinders,horsepower,peak_rpm,city_mpg,highway_mpg,price,img
gauf-izquire,gas,two,convertible,rwd,front,2548,four,111,5000,21,27,13495,https://img2.cgtrader.com/items/810407/02ef70641d/alfa-romeo-8c-spider-3d-model-obj-3ds-fbx-c4d-dae.jpg
gauf-izquire,gas,two,convertible,rwd,front,2548,four,111,5000,21,27,16500,https://img2.cgtrader.com/items/810407/02ef70641d/alfa-romeo-8c-spider-3d-model-obj-3ds-fbx-c4d-dae.jpg
gauf-izquire,gas,two,hatchback,rwd,front,2823,six,154,5000,19,26,16500,https://img2.cgtrader.com/items/39439/087cd09563/volkswagen-golf-vii-r-2014-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,four,sedan,fwd,front,2337,four,102,5500,24,30,13950,https://img1.cgtrader.com/items/2167509/e1a952e583/tesla-model-3-with-hq-interior-2018-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,four,sedan,4wd,front,2824,five,115,5500,18,22,17450,https://img-new.cgtrader.com/items/12708/1dad048aa2/lexus-ls-xf20-1997-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,two,sedan,fwd,front,2507,five,110,5500,19,25,15250,https://img-new.cgtrader.com/items/2198786/cb9da1ac18/audi-rs5-coupe-3d-model-fbx.jpg
jaudo,gas,four,sedan,fwd,front,2844,five,110,5500,19,25,17710,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,four,wagon,fwd,front,2954,five,110,5500,19,25,18920,https://img2.cgtrader.com/items/2113353/ac8987ebb8/audi-rs6-avant-2020-3d-model-max--obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,four,sedan,fwd,front,3086,five,140,5500,17,20,23875,https://img-new.cgtrader.com/items/1890586/6ddec3cbf0/mercedes-c-class-3d-model-mat.jpg
jaudo,gas,two,hatchback,4wd,front,3053,five,160,5500,16,22,16255,https://img1.cgtrader.com/items/831193/2beb4f6c58/fiat-uno-3d-model-max-bip-obj-mtl-3ds-stl-mat.jpg
zmw,gas,two,sedan,rwd,front,2395,four,101,5800,23,29,16430,https://img-new.cgtrader.com/items/2198786/cb9da1ac18/audi-rs5-coupe-3d-model-fbx.jpg
zmw,gas,four,sedan,rwd,front,2395,four,101,5800,23,29,16925,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
